03.04.2023 14:52:35, user, 1, 0, "Paired beacons angle visible", enabled, disabled
03.04.2023 14:52:42, user, 1, 1, "Rotation, degrees", 0.0, 48.0
03.04.2023 14:52:42, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
03.04.2023 14:52:42, user, 1, 1, "Extrapolation", enabled, disabled
03.04.2023 14:52:42, user, 1, 0, "Service zones visible", disabled, enabled
03.04.2023 14:52:42, user, 1, 0, "Service zones active", disabled, enabled
03.04.2023 14:52:42, user, 1, 1, "Samples number (1..10)", 3, 0
03.04.2023 14:52:42, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
03.04.2023 14:52:42, user, 1, 1, "Window of averaging (0..16)", 0, 4
03.04.2023 14:52:42, user, 1, 1, "Distance filter (0..16)", 8, 0
03.04.2023 14:52:42, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
03.04.2023 14:52:42, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
03.04.2023 14:52:42, user, 1, 1, "Jitter area, % (0..50)", 25, 0
03.04.2023 14:52:42, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
03.04.2023 14:52:42, user, 18, 0, add submap, 
03.04.2023 14:52:42, user, 1, 0, "1D/2D/3D", 1D, none (no beacons)
03.04.2023 14:52:43, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 14:53:07, user, 1, 1, "Rotation, degrees", 176.0, 0.0
03.04.2023 14:53:10, user, 1, 1, "Rotation, degrees", 0.0, 176.0
03.04.2023 14:53:14, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 14:53:16, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 14:53:17, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 14:53:18, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 14:53:19, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 14:53:22, user, 2, 0, map freeze, 1
03.04.2023 14:53:28, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 14:53:31, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 14:53:45, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 14:54:53, user, 1, 7, "Send location of center", enabled, disabled
03.04.2023 14:54:57, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 14:55:11, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 14:55:14, user, 3, 0, submap freeze, 0
03.04.2023 14:55:14, user, 2, 0, map freeze, 0
03.04.2023 14:55:15, user, 3, 0, submap freeze, 1
03.04.2023 14:55:16, user, 2, 0, map freeze, 1
03.04.2023 14:55:22, user, 2, 0, map freeze, 0
03.04.2023 14:55:25, user, 1, 7, "Ultrasonic frequency, Hz (100..65000)", 31000, 37000
03.04.2023 14:55:33, user, 2, 0, map freeze, 1
03.04.2023 14:56:44, user, 2, 0, map freeze, 0
03.04.2023 14:56:48, user, 1, 7, "Ultrasonic frequency, Hz (100..65000)", 37000, 25000
03/04/2023 14:58:19, user, 10, 7, device sleep, 
03/04/2023 14:58:20, user, 10, 5, device sleep, 
03/04/2023 14:58:23, user, 11, 5, device wake, 
03/04/2023 14:58:24, user, 11, 7, device wake, 
03/04/2023 14:58:58, user, 20, 7, device TX sensors, 11110 11111
03/04/2023 14:58:59, user, 20, 7, device TX sensors, 11100 11111
03/04/2023 14:58:59, user, 20, 7, device TX sensors, 11000 11111
03/04/2023 14:59:00, user, 20, 7, device TX sensors, 10000 11111
03/04/2023 14:59:00, user, 20, 7, device TX sensors, 00000 11111
03/04/2023 14:59:00, user, 20, 7, device TX sensors, 00000 01111
03/04/2023 14:59:01, user, 20, 7, device TX sensors, 00000 01011
03/04/2023 14:59:01, user, 20, 7, device TX sensors, 00000 01001
03/04/2023 14:59:02, user, 20, 7, device TX sensors, 00000 01000
03/04/2023 14:59:03, user, 20, 7, device TX sensors, 00000 00000
03/04/2023 14:59:05, user, 20, 7, device TX sensors, 00000 00001
03/04/2023 14:59:06, user, 20, 7, device TX sensors, 00001 00001
03/04/2023 14:59:06, user, 20, 7, device TX sensors, 00011 00001
03/04/2023 14:59:07, user, 20, 7, device TX sensors, 00011 00011
03/04/2023 14:59:07, user, 20, 7, device TX sensors, 00011 00111
03/04/2023 14:59:07, user, 20, 7, device TX sensors, 00111 00111
03/04/2023 14:59:08, user, 20, 7, device TX sensors, 01111 00111
03/04/2023 14:59:08, user, 20, 7, device TX sensors, 01111 01111
03/04/2023 14:59:09, user, 20, 7, device TX sensors, 01111 11111
03/04/2023 14:59:09, user, 20, 7, device TX sensors, 11111 11111
03/04/2023 14:59:22, user, 1, 7, "Ultrasonic frequency, Hz (100..65000)", 25000, 31000
03/04/2023 14:59:27, user, 13, 7, device zero IMU, 
03/04/2023 14:59:54, user, 1, 7, "IMU fusion for angle", enabled, disabled
03/04/2023 14:59:59, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03/04/2023 15:00:42, user, 1, 5, "Send location of center", disabled, enabled
03/04/2023 15:00:45, user, 1, 1, "Rotation, degrees", 48.0, 176.0
